Confirmed,Date,Deaths,Recovered
22,2/23/20,0,11
0,1/25/20,0,0
39,3/3/20,1,11
4,1/26/20,0,0
23,2/28/20,0,11
15,2/18/20,0,10
30,3/2/20,1,11
22,2/22/20,0,11
15,2/20/20,0,10
15,2/10/20,0,2
0,1/24/20,0,0
15,2/13/20,0,8
13,2/4/20,0,2
15,2/9/20,0,2
15,2/12/20,0,2
6,1/29/20,0,0
9,1/30/20,0,2
15,2/14/20,0,8
52,3/4/20,2,11
13,2/5/20,0,2
5,1/28/20,0,0
0,1/23/20,0,0
14,2/6/20,0,2
22,2/24/20,0,11
25,2/29/20,0,11
15,2/7/20,0,2
15,2/16/20,0,8
12,2/1/20,0,2
9,1/31/20,0,2
15,2/17/20,0,10
15,2/15/20,0,8
22,2/25/20,0,11
22,2/26/20,0,11
23,2/27/20,0,11
5,1/27/20,0,0
12,2/3/20,0,2
19,2/21/20,0,11
27,3/1/20,1,11
15,2/8/20,0,2
0,1/22/20,0,0
12,2/2/20,0,2
15,2/19/20,0,10
15,2/11/20,0,2
