Confirmed,Date,Deaths,Recovered
9,2/23/20,0,3
0,1/25/20,0,0
30,3/3/20,0,6
1,1/26/20,0,0
14,2/28/20,0,6
8,2/18/20,0,1
27,3/2/20,0,6
9,2/22/20,0,3
8,2/20/20,0,1
7,2/10/20,0,0
0,1/24/20,0,0
7,2/13/20,0,1
4,2/4/20,0,0
7,2/9/20,0,0
7,2/12/20,0,1
2,1/29/20,0,0
2,1/30/20,0,0
7,2/14/20,0,1
33,3/4/20,0,6
5,2/5/20,0,0
2,1/28/20,0,0
0,1/23/20,0,0
5,2/6/20,0,0
10,2/24/20,0,3
20,2/29/20,0,6
7,2/7/20,0,0
7,2/16/20,0,1
4,2/1/20,0,0
4,1/31/20,0,0
8,2/17/20,0,1
7,2/15/20,0,1
11,2/25/20,0,3
11,2/26/20,0,3
13,2/27/20,0,6
1,1/27/20,0,0
4,2/3/20,0,0
9,2/21/20,0,3
24,3/1/20,0,6
7,2/8/20,0,0
0,1/22/20,0,0
4,2/2/20,0,0
8,2/19/20,0,1
7,2/11/20,0,0
