Confirmed,Date,Deaths,Recovered
12,2/23/20,1,4
3,1/25/20,0,0
204,3/3/20,4,12
3,1/26/20,0,0
57,2/28/20,2,11
12,2/18/20,1,4
191,3/2/20,3,12
12,2/22/20,1,4
12,2/20/20,1,4
11,2/10/20,0,0
2,1/24/20,0,0
11,2/13/20,0,2
6,2/4/20,0,0
11,2/9/20,0,0
11,2/12/20,0,2
5,1/29/20,0,0
5,1/30/20,0,0
11,2/14/20,0,2
285,3/4/20,4,12
6,2/5/20,0,0
4,1/28/20,0,0
0,1/23/20,0,0
6,2/6/20,0,0
12,2/24/20,1,4
100,2/29/20,2,12
6,2/7/20,0,0
12,2/16/20,1,4
6,2/1/20,0,0
5,1/31/20,0,0
12,2/17/20,1,4
12,2/15/20,1,4
14,2/25/20,1,11
18,2/26/20,2,11
38,2/27/20,2,11
3,1/27/20,0,0
6,2/3/20,0,0
12,2/21/20,1,4
130,3/1/20,2,12
11,2/8/20,0,0
0,1/22/20,0,0
6,2/2/20,0,0
12,2/19/20,1,4
11,2/11/20,0,0
