confirmed,date,deaths,recovered
16,2/23/20,0,14
0,1/25/20,0,0
196,3/3/20,0,16
0,1/26/20,0,0
48,2/28/20,0,16
16,2/18/20,0,12
159,3/2/20,0,16
16,2/22/20,0,14
16,2/20/20,0,12
14,2/10/20,0,0
0,1/24/20,0,0
16,2/13/20,0,1
12,2/4/20,0,0
14,2/9/20,0,0
16,2/12/20,0,0
4,1/29/20,0,0
4,1/30/20,0,0
16,2/14/20,0,1
262,3/4/20,0,16
12,2/5/20,0,0
4,1/28/20,0,0
0,1/23/20,0,0
12,2/6/20,0,0
16,2/24/20,0,14
79,2/29/20,0,16
13,2/7/20,0,0
16,2/16/20,0,1
8,2/1/20,0,0
5,1/31/20,0,0
16,2/17/20,0,1
16,2/15/20,0,1
17,2/25/20,0,14
27,2/26/20,0,15
46,2/27/20,0,16
1,1/27/20,0,0
12,2/3/20,0,0
16,2/21/20,0,14
130,3/1/20,0,16
13,2/8/20,0,0
0,1/22/20,0,0
10,2/2/20,0,0
16,2/19/20,0,12
16,2/11/20,0,0
