Confirmed,Date,Deaths,Recovered
43,2/23/20,8,0
0,1/25/20,0,0
2336,3/3/20,77,291
0,1/26/20,0,0
388,2/28/20,34,73
0,2/18/20,0,0
1501,3/2/20,66,291
28,2/22/20,5,0
5,2/20/20,2,0
0,2/10/20,0,0
0,1/24/20,0,0
0,2/13/20,0,0
0,2/4/20,0,0
0,2/9/20,0,0
0,2/12/20,0,0
0,1/29/20,0,0
0,1/30/20,0,0
0,2/14/20,0,0
2922,3/4/20,92,552
0,2/5/20,0,0
0,1/28/20,0,0
0,1/23/20,0,0
0,2/6/20,0,0
61,2/24/20,12,0
593,2/29/20,43,123
0,2/7/20,0,0
0,2/16/20,0,0
0,2/1/20,0,0
0,1/31/20,0,0
0,2/17/20,0,0
0,2/15/20,0,0
95,2/25/20,16,0
139,2/26/20,19,49
245,2/27/20,26,49
0,1/27/20,0,0
0,2/3/20,0,0
18,2/21/20,4,0
978,3/1/20,54,175
0,2/8/20,0,0
0,1/22/20,0,0
0,2/2/20,0,0
2,2/19/20,2,0
0,2/11/20,0,0
