Confirmed,Date,Deaths,Recovered
155,2/23/20,3,2
0,1/25/20,0,0
2502,3/3/20,79,160
0,1/26/20,0,0
888,2/28/20,21,46
3,2/18/20,0,0
2036,3/2/20,52,149
62,2/22/20,2,1
3,2/20/20,0,0
3,2/10/20,0,0
0,1/24/20,0,0
3,2/13/20,0,0
2,2/4/20,0,0
3,2/9/20,0,0
3,2/12/20,0,0
0,1/29/20,0,0
0,1/30/20,0,0
3,2/14/20,0,0
3089,3/4/20,107,276
2,2/5/20,0,0
0,1/28/20,0,0
0,1/23/20,0,0
2,2/6/20,0,0
229,2/24/20,7,1
1128,2/29/20,29,46
3,2/7/20,0,0
3,2/16/20,0,0
2,2/1/20,0,0
2,1/31/20,0,0
3,2/17/20,0,0
3,2/15/20,0,0
322,2/25/20,10,1
453,2/26/20,12,3
655,2/27/20,17,45
0,1/27/20,0,0
2,2/3/20,0,0
20,2/21/20,1,0
1694,3/1/20,34,83
3,2/8/20,0,0
0,1/22/20,0,0
2,2/2/20,0,0
3,2/19/20,0,0
3,2/11/20,0,0
