Confirmed,Date,Deaths,Recovered
147,2/23/20,1,22
2,1/25/20,0,0
293,3/3/20,6,43
4,1/26/20,0,1
228,2/28/20,4,22
74,2/18/20,1,13
274,3/2/20,6,32
122,2/22/20,1,22
94,2/20/20,1,18
26,2/10/20,0,4
2,1/24/20,0,0
28,2/13/20,1,9
22,2/4/20,0,1
26,2/9/20,0,1
28,2/12/20,0,9
7,1/29/20,0,1
11,1/30/20,0,1
29,2/14/20,1,9
331,3/4/20,6,43
22,2/5/20,0,1
7,1/28/20,0,1
1,1/23/20,0,0
45,2/6/20,0,1
159,2/24/20,1,22
241,2/29/20,5,32
25,2/7/20,0,1
59,2/16/20,1,12
20,2/1/20,0,1
15,1/31/20,0,1
66,2/17/20,1,12
43,2/15/20,1,12
170,2/25/20,1,22
189,2/26/20,2,22
214,2/27/20,4,22
4,1/27/20,0,1
20,2/3/20,0,1
105,2/21/20,1,22
256,3/1/20,6,32
25,2/8/20,0,1
2,1/22/20,0,0
20,2/2/20,0,1
84,2/19/20,1,18
26,2/11/20,0,9
