Confirmed,Date,Deaths,Recovered
10,2/23/20,0,6
2,1/25/20,0,0
10,3/3/20,0,9
5,1/26/20,0,0
10,2/28/20,0,8
10,2/18/20,0,5
10,3/2/20,0,8
10,2/22/20,0,6
10,2/20/20,0,6
10,2/10/20,0,1
2,1/24/20,0,0
10,2/13/20,0,3
10,2/4/20,0,0
10,2/9/20,0,1
10,2/12/20,0,2
7,1/29/20,0,0
7,1/30/20,0,0
10,2/14/20,0,3
10,3/4/20,0,9
10,2/5/20,0,0
7,1/28/20,0,0
2,1/23/20,0,0
10,2/6/20,0,1
10,2/24/20,0,6
10,2/29/20,0,8
10,2/7/20,0,1
10,2/16/20,0,5
7,2/1/20,0,0
7,1/31/20,0,0
10,2/17/20,0,5
10,2/15/20,0,3
10,2/25/20,0,7
10,2/26/20,0,7
10,2/27/20,0,8
6,1/27/20,0,0
8,2/3/20,0,0
10,2/21/20,0,6
10,3/1/20,0,8
10,2/8/20,0,1
1,1/22/20,0,0
8,2/2/20,0,0
10,2/19/20,0,5
10,2/11/20,0,1
