confirmed,date,deaths,recovered
22,2/23/20,0,15
3,1/25/20,0,0
36,3/3/20,0,22
4,1/26/20,0,0
23,2/28/20,0,18
22,2/18/20,0,13
29,3/2/20,0,18
22,2/22/20,0,15
22,2/20/20,0,15
18,2/10/20,0,1
0,1/24/20,0,0
19,2/13/20,0,3
10,2/4/20,0,0
16,2/9/20,0,1
18,2/12/20,0,3
7,1/29/20,0,0
8,1/30/20,0,0
19,2/14/20,0,3
50,3/4/20,0,22
12,2/5/20,0,0
4,1/28/20,0,0
0,1/23/20,0,0
12,2/6/20,0,0
22,2/24/20,0,18
25,2/29/20,0,18
12,2/7/20,0,1
22,2/16/20,0,7
8,2/1/20,0,0
8,1/31/20,0,0
22,2/17/20,0,7
22,2/15/20,0,7
22,2/25/20,0,18
22,2/26/20,0,18
23,2/27/20,0,18
4,1/27/20,0,0
8,2/3/20,0,0
22,2/21/20,0,15
29,3/1/20,0,18
16,2/8/20,0,1
0,1/22/20,0,0
8,2/2/20,0,0
22,2/19/20,0,15
18,2/11/20,0,3
