confirmed,date,deaths,recovered
3,2/23/20,1,1
0,1/25/20,0,0
3,3/3/20,1,1
0,1/26/20,0,0
3,2/28/20,1,1
3,2/18/20,1,1
3,3/2/20,1,1
3,2/22/20,1,1
3,2/20/20,1,1
3,2/10/20,1,0
0,1/24/20,0,0
3,2/13/20,1,1
2,2/4/20,1,0
3,2/9/20,1,0
3,2/12/20,1,1
0,1/29/20,0,0
1,1/30/20,0,0
3,2/14/20,1,1
3,3/4/20,1,1
2,2/5/20,1,0
0,1/28/20,0,0
0,1/23/20,0,0
2,2/6/20,1,0
3,2/24/20,1,1
3,2/29/20,1,1
3,2/7/20,1,0
3,2/16/20,1,1
1,2/1/20,0,0
1,1/31/20,0,0
3,2/17/20,1,1
3,2/15/20,1,1
3,2/25/20,1,1
3,2/26/20,1,1
3,2/27/20,1,1
0,1/27/20,0,0
2,2/3/20,1,0
3,2/21/20,1,1
3,3/1/20,1,1
3,2/8/20,1,0
0,1/22/20,0,0
2,2/2/20,1,0
3,2/19/20,1,1
3,2/11/20,1,0
