Confirmed,Date,Deaths,Recovered
89,2/23/20,0,51
3,1/25/20,0,0
110,3/3/20,0,78
4,1/26/20,0,0
93,2/28/20,0,62
81,2/18/20,0,29
108,3/2/20,0,78
85,2/22/20,0,37
84,2/20/20,0,34
45,2/10/20,0,2
3,1/24/20,0,0
58,2/13/20,0,15
24,2/4/20,0,0
40,2/9/20,0,2
50,2/12/20,0,15
7,1/29/20,0,0
10,1/30/20,0,0
67,2/14/20,0,17
110,3/4/20,0,78
28,2/5/20,0,0
7,1/28/20,0,0
1,1/23/20,0,0
28,2/6/20,0,0
89,2/24/20,0,51
102,2/29/20,0,72
30,2/7/20,0,0
75,2/16/20,0,18
16,2/1/20,0,0
13,1/31/20,0,0
77,2/17/20,0,24
72,2/15/20,0,18
91,2/25/20,0,53
93,2/26/20,0,62
93,2/27/20,0,62
5,1/27/20,0,0
18,2/3/20,0,0
85,2/21/20,0,37
106,3/1/20,0,72
33,2/8/20,0,2
0,1/22/20,0,0
18,2/2/20,0,0
84,2/19/20,0,34
47,2/11/20,0,9
