Confirmed,Date,Deaths,Recovered
602,2/23/20,6,18
2,1/25/20,0,0
5186,3/3/20,28,30
3,1/26/20,0,0
2337,2/28/20,13,22
31,2/18/20,0,12
4335,3/2/20,28,30
433,2/22/20,2,16
104,2/20/20,1,16
27,2/10/20,0,3
2,1/24/20,0,0
28,2/13/20,0,7
16,2/4/20,0,0
25,2/9/20,0,3
28,2/12/20,0,7
4,1/29/20,0,0
4,1/30/20,0,0
28,2/14/20,0,7
5621,3/4/20,35,41
19,2/5/20,0,0
4,1/28/20,0,0
1,1/23/20,0,0
23,2/6/20,0,0
833,2/24/20,8,18
3150,2/29/20,16,27
24,2/7/20,0,1
29,2/16/20,0,9
12,2/1/20,0,0
11,1/31/20,0,0
30,2/17/20,0,10
28,2/15/20,0,9
977,2/25/20,10,22
1261,2/26/20,12,22
1766,2/27/20,13,22
4,1/27/20,0,0
15,2/3/20,0,0
204,2/21/20,2,16
3736,3/1/20,17,30
24,2/8/20,0,1
1,1/22/20,0,0
15,2/2/20,0,0
31,2/19/20,0,12
28,2/11/20,0,3
