Confirmed,Date,Deaths,Recovered
28,2/23/20,1,2
3,1/25/20,0,0
42,3/3/20,1,12
4,1/26/20,0,0
34,2/28/20,1,6
22,2/18/20,1,2
41,3/2/20,1,12
26,2/22/20,1,2
24,2/20/20,1,2
18,2/10/20,0,1
3,1/24/20,0,0
18,2/13/20,0,1
11,2/4/20,0,0
18,2/9/20,0,1
18,2/12/20,0,1
8,1/29/20,0,0
9,1/30/20,0,0
18,2/14/20,0,2
42,3/4/20,1,12
11,2/5/20,0,0
8,1/28/20,0,0
1,1/23/20,0,0
16,2/6/20,0,1
30,2/24/20,1,5
39,2/29/20,1,9
16,2/7/20,0,1
20,2/16/20,1,2
10,2/1/20,0,0
10,1/31/20,0,0
22,2/17/20,1,2
18,2/15/20,0,2
31,2/25/20,1,5
32,2/26/20,1,5
32,2/27/20,1,5
5,1/27/20,0,0
10,2/3/20,0,0
26,2/21/20,1,2
40,3/1/20,1,9
17,2/8/20,0,1
1,1/22/20,0,0
10,2/2/20,0,0
23,2/19/20,1,2
18,2/11/20,0,1
