Confirmed,Date,Deaths,Recovered
35,2/23/20,0,21
7,1/25/20,0,0
43,3/3/20,1,31
8,1/26/20,0,2
41,2/28/20,0,28
35,2/18/20,0,15
43,3/2/20,1,31
35,2/22/20,0,17
35,2/20/20,0,15
32,2/10/20,0,10
5,1/24/20,0,0
33,2/13/20,0,12
25,2/4/20,0,5
32,2/9/20,0,10
33,2/12/20,0,10
14,1/29/20,0,5
14,1/30/20,0,5
33,2/14/20,0,12
43,3/4/20,1,31
25,2/5/20,0,5
14,1/28/20,0,5
3,1/23/20,0,0
25,2/6/20,0,5
35,2/24/20,0,21
42,2/29/20,0,28
25,2/7/20,0,5
34,2/16/20,0,14
19,2/1/20,0,5
19,1/31/20,0,5
35,2/17/20,0,15
33,2/15/20,0,12
37,2/25/20,0,22
40,2/26/20,0,22
40,2/27/20,0,22
8,1/27/20,0,2
19,2/3/20,0,5
35,2/21/20,0,17
42,3/1/20,1,28
32,2/8/20,0,10
2,1/22/20,0,0
19,2/2/20,0,5
35,2/19/20,0,15
33,2/11/20,0,10
