confirmed,date,deaths,recovered
9,2/23/20,0,8
0,1/25/20,0,0
51,3/3/20,0,8
0,1/26/20,0,0
20,2/28/20,0,8
9,2/18/20,0,8
40,3/2/20,0,8
9,2/22/20,0,8
9,2/20/20,0,8
8,2/10/20,0,0
0,1/24/20,0,0
9,2/13/20,0,1
2,2/4/20,0,0
3,2/9/20,0,0
9,2/12/20,0,1
0,1/29/20,0,0
0,1/30/20,0,0
9,2/14/20,0,1
85,3/4/20,0,8
2,2/5/20,0,0
0,1/28/20,0,0
0,1/23/20,0,0
2,2/6/20,0,0
13,2/24/20,0,8
23,2/29/20,0,8
3,2/7/20,0,0
9,2/16/20,0,8
2,2/1/20,0,0
2,1/31/20,0,0
9,2/17/20,0,8
9,2/15/20,0,1
13,2/25/20,0,8
13,2/26/20,0,8
15,2/27/20,0,8
0,1/27/20,0,0
2,2/3/20,0,0
9,2/21/20,0,8
36,3/1/20,0,8
3,2/8/20,0,0
0,1/22/20,0,0
2,2/2/20,0,0
9,2/19/20,0,8
8,2/11/20,0,0
