confirmed,date,deaths,recovered
35,2/23/20,0,5
2,1/25/20,0,0
122,3/3/20,7,8
5,1/26/20,0,0
62,2/28/20,0,7
15,2/18/20,0,3
101,3/2/20,6,7
35,2/22/20,0,5
15,2/20/20,0,3
12,2/10/20,0,3
2,1/24/20,0,0
15,2/13/20,0,3
11,2/4/20,0,0
12,2/9/20,0,3
13,2/12/20,0,3
5,1/29/20,0,0
5,1/30/20,0,0
15,2/14/20,0,3
153,3/4/20,11,8
12,2/5/20,0,0
5,1/28/20,0,0
1,1/23/20,0,0
12,2/6/20,0,0
53,2/24/20,0,5
70,2/29/20,1,7
12,2/7/20,0,0
15,2/16/20,0,3
8,2/1/20,0,0
7,1/31/20,0,0
15,2/17/20,0,3
15,2/15/20,0,3
53,2/25/20,0,6
59,2/26/20,0,6
60,2/27/20,0,6
5,1/27/20,0,0
11,2/3/20,0,0
35,2/21/20,0,5
76,3/1/20,1,7
12,2/8/20,0,0
1,1/22/20,0,0
8,2/2/20,0,0
15,2/19/20,0,3
13,2/11/20,0,3
