Confirmed,Date,Deaths,Recovered
13,2/23/20,0,4
0,1/25/20,0,0
27,3/3/20,0,5
0,1/26/20,0,0
19,2/28/20,0,5
9,2/18/20,0,4
21,3/2/20,0,5
13,2/22/20,0,4
9,2/20/20,0,4
8,2/10/20,0,0
0,1/24/20,0,0
8,2/13/20,0,1
5,2/4/20,0,0
7,2/9/20,0,0
8,2/12/20,0,1
4,1/29/20,0,0
4,1/30/20,0,0
8,2/14/20,0,1
27,3/4/20,0,5
5,2/5/20,0,0
0,1/28/20,0,0
0,1/23/20,0,0
5,2/6/20,0,0
13,2/24/20,0,4
21,2/29/20,0,5
5,2/7/20,0,0
9,2/16/20,0,4
4,2/1/20,0,0
4,1/31/20,0,0
9,2/17/20,0,4
8,2/15/20,0,3
13,2/25/20,0,4
13,2/26/20,0,4
13,2/27/20,0,4
0,1/27/20,0,0
5,2/3/20,0,0
9,2/21/20,0,4
21,3/1/20,0,5
7,2/8/20,0,0
0,1/22/20,0,0
5,2/2/20,0,0
9,2/19/20,0,4
8,2/11/20,0,0
