confirmed,date,deaths,recovered
16,2/23/20,0,14
2,1/25/20,0,0
16,3/3/20,0,16
2,1/26/20,0,0
16,2/28/20,0,16
16,2/18/20,0,7
16,3/2/20,0,16
16,2/22/20,0,14
16,2/20/20,0,7
14,2/10/20,0,1
2,1/24/20,0,0
16,2/13/20,0,7
8,2/4/20,0,1
13,2/9/20,0,1
15,2/12/20,0,6
2,1/29/20,0,0
2,1/30/20,0,0
16,2/14/20,0,7
16,3/4/20,0,16
8,2/5/20,0,1
2,1/28/20,0,0
2,1/23/20,0,0
10,2/6/20,0,1
16,2/24/20,0,14
16,2/29/20,0,16
10,2/7/20,0,1
16,2/16/20,0,7
6,2/1/20,0,1
2,1/31/20,0,0
16,2/17/20,0,7
16,2/15/20,0,7
16,2/25/20,0,16
16,2/26/20,0,16
16,2/27/20,0,16
2,1/27/20,0,0
8,2/3/20,0,1
16,2/21/20,0,14
16,3/1/20,0,16
13,2/8/20,0,1
0,1/22/20,0,0
6,2/2/20,0,1
16,2/19/20,0,7
15,2/11/20,0,6
