confirmed,date,deaths,recovered
74,2/23/20,2,11
5,1/25/20,0,0
100,3/3/20,2,37
8,1/26/20,0,0
94,2/28/20,2,30
62,2/18/20,1,2
100,3/2/20,2,36
69,2/22/20,2,6
68,2/20/20,2,6
38,2/10/20,1,0
2,1/24/20,0,0
53,2/13/20,1,1
17,2/4/20,1,0
29,2/9/20,1,0
50,2/12/20,1,1
10,1/29/20,0,0
10,1/30/20,0,0
56,2/14/20,1,1
105,3/4/20,2,37
21,2/5/20,1,0
8,1/28/20,0,0
2,1/23/20,0,0
24,2/6/20,1,0
79,2/24/20,2,19
95,2/29/20,2,33
25,2/7/20,1,0
57,2/16/20,1,2
13,2/1/20,0,0
12,1/31/20,0,0
60,2/17/20,1,2
56,2/15/20,1,1
84,2/25/20,2,19
91,2/26/20,2,24
92,2/27/20,2,24
8,1/27/20,0,0
15,2/3/20,0,0
68,2/21/20,2,5
96,3/1/20,2,36
26,2/8/20,1,0
0,1/22/20,0,0
15,2/2/20,0,0
63,2/19/20,2,5
49,2/11/20,1,0
