confirmed,date,deaths,recovered
76938,2/23/20,2443,23170
1399,1/25/20,42,39
80151,3/3/20,2945,47404
2062,1/26/20,56,49
78824,2/28/20,2788,36291
74139,2/18/20,2002,14199
80026,3/2/20,2912,44810
76922,2/22/20,2441,22687
74999,2/20/20,2236,18002
42306,2/10/20,1011,3917
916,1/24/20,26,36
59832,2/13/20,1368,6213
23680,2/4/20,490,843
39790,2/9/20,904,3218
44699,2/12/20,1116,5079
6070,1/29/20,133,120
8124,1/30/20,171,135
66292,2/14/20,1520,7973
80271,3/4/20,2981,49955
27409,2/5/20,562,1115
5494,1/28/20,131,101
639,1/23/20,18,30
30553,2/6/20,632,1476
77152,2/24/20,2593,24990
79251,2/29/20,2835,39279
34075,2/7/20,717,1998
70446,2/16/20,1765,10748
11871,2/1/20,259,275
9783,1/31/20,213,214
72364,2/17/20,1863,12455
68347,2/15/20,1662,9294
77660,2/25/20,2663,27650
78065,2/26/20,2715,30053
78498,2/27/20,2744,32898
2863,1/27/20,82,58
19693,2/3/20,425,614
75472,2/21/20,2236,18693
79826,3/1/20,2870,42118
36778,2/8/20,804,2595
547,1/22/20,17,28
16607,2/2/20,361,463
74546,2/19/20,2114,15952
44327,2/11/20,1111,4635
